"Name (English)","Region of Focus","Language","Entity owner (English)","Parent entity (English)","Instagram page","Instagram URL","Instagram Follower #"
"CGTN Russian","Russia","Russian","China Media Group (CMG)","Central Publicity Department","cgtn_russian","https://www.instagram.com/cgtn_russian/",770
"CGTN Sports Scene","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtn_sports_scene","https://www.instagram.com/cgtn_sports_scene/",2617
"CGTN Travelogue","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtntravelogue","https://www.instagram.com/cgtntravelogue/",1808
"Liu Chen","Kenya","English","China Media Group (CMG)","Central Publicity Department","liu.chen0_0","https://www.instagram.com/liu.chen0_0/",1919
"Chinese Embassy in Ukraine","Ukraine","Ukrainian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaemb_ua","https://www.instagram.com/chinaemb_ua/",1868
"Chinese Consulate General in New York","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinacg_nyc","https://www.instagram.com/chinacg_nyc/",71900
"Chinese Consulate General in Almaty","Kazakhstan","Russian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaconsalmaty","https://www.instagram.com/chinaconsalmaty/",2670
"China Daily","Anglosphere","English","China Daily Press","Central Publicity Department","chinadailynews","https://www.instagram.com/chinadailynews/",1300000
"Chinese Embassy in Greece","Greece","Greek","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaemb_hellas","https://www.instagram.com/chinaemb_hellas/",1387
"Chinese Embassy in Dominican Republic","Dominican Republic","Spanish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaembajada","https://www.instagram.com/chinaembajada/",6713
"Chinese Embassy in Germany","Germany","German","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinesische.botschaft","https://www.instagram.com/chinesische.botschaft/",527
"Chinese Embassy in Kazakhstan","Kazakhstan","Russian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaembkazakh","https://www.instagram.com/chinaembkazakh/",2527
